Title	Unemployment rate (aged 16 and over, seasonally adjusted)
CDID	MGSX
Source dataset ID	LMS
PreUnit	
Unit	%
Release date	15/12/2020
Next release	26-Jan-21
Important notes	
1971	4.1
1972	4.3
1973	-999
1974	3.7
1975	4.5
1976	5.4
1977	5.6
1978	5.5
1979	-999
1980	6.8
1981	9.6
1982	10.7
1983	11.5
1984	11.8
1985	11.4
1986	11.3
1987	10.4
1988	8.6
1989	7.2
1990	-999
1991	8.9
1992	9.9
1993	10.4
1994	9.5
1995	8.6
1996	8.1
1997	6.9
1998	6.2
1999	6
2000	5.4
2001	5.1
2002	5.2
2003	5
2004	4.8
2005	4.8
2006	5.4
2007	5.3
2008	5.7
2009	7.6
2010	7.9
2011	8.1
2012	8
2013	7.6
2014	6.2
2015	5.4
2016	4.9
2017	4.4
2018	4.1
2019	3.8
