Modified from https://nssdc.gsfc.nasa.gov/planetary/factsheet/
------

Mass (10^24kg);0.33;4.87;5.97;0.642;1898;568;86.8;102
Diameter (km);4879;12,104;12,756;6792;142,984;120,536;51,118;49,528
Density (kg/m3);5427;5243;5514;3933;1326;687;1271;1638
Gravity (m/s2);3.7;8.9;9.8;3.7;23.1;9;8.7;11
Rotation Period (hours);1407.6;-5832.5;23.9;24.6;9.9;10.7;-17.2;16.1
Length of Day (hours);4222.6;2802;24;24.7;9.9;10.7;17.2;16.1
Distance from Sun (10^6 km);57.9;108.2;149.6;227.9;778.6;1433.5;2872.5;4495.1
Perihelion (10^6 km);46;107.5;147.1;206.6;740.5;1352.6;2741.3;4444.5
Aphelion (10^6 km);69.8;108.9;152.1;249.2;816.6;1514.5;3003.6;4545.7
Orbital Period (days);88;224.7;365.2;687;4331;10,747;30,589;59,800
Mean Temperature (C);167;464;15;-65;-110;-140;-195;-200
Surface Pressure (bars);0;92;1;0.01;Unknown*;Unknown*;Unknown*;Unknown*
Number of Moons;0;0;1;2;79;82;27;14
