date_time;nox;no2;no;siteid;pm10;nvpm10;vpm10;nvpm25;pm25;vpm25;co;o3;so2;temp;rh;press;location;geo_point_2d;datestart;dateend;current;instrumenttype
2020-11-05T23:00:00+00:00;316.136;73.249;158.407;500;162.322;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-01T02:00:00+00:00;440.64;79.56;235.49;500;159.423;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-04T09:00:00+00:00;123.547;47.047;49.892;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-04T08:00:00+00:00;109.395;39.78;45.402;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-03T11:00:00+00:00;48.96;21.994;17.587;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-03T08:00:00+00:00;19.89;11.857;5.239;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-01T23:00:00+00:00;59.861;32.895;17.587;500;20.29;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T17:00:00+00:00;241.166;74.97;108.39;500;26.087;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T09:00:00+00:00;240.401;57.949;118.992;500;10.628;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T05:00:00+00:00;32.704;22.376;6.735;500;7.73;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T10:00:00+00:00;308.869;66.172;158.282;500;17.392;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T07:00:00+00:00;87.784;37.867;32.555;500;3.865;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T19:00:00+00:00;118.192;53.359;42.283;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-03T00:00:00+00:00;51.064;31.556;12.722;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-02T23:00:00+00:00;63.877;36.72;17.712;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-08T20:00:00+00:00;192.206;63.877;83.694;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-05T03:00:00+00:00;16.83;13.961;1.871;500;11.594;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-09T18:00:00+00:00;128.711;57.375;46.524;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-09T19:00:00+00:00;138.465;55.654;54.008;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2021-01-11T08:00:00+00:00;38.633;29.453;5.987;500;;;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-22T15:00:00+00:00;39.4807;29.4362;6.5508;500;9.662;;;;;;;;;11.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-22T20:00:00+00:00;82.6611;58.097;16.0203;500;24.155;;;;;;;;;10.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-10-22T21:00:00+00:00;51.4922;40.304;7.2967;500;16.425;;;;;;;;;10.5;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
